Vrb,VBE,VBB
"2,34","0,651",3
"2,24","0,649","2,9"
"2,14","0,648","2,8"
"2,04","0,647","2,7"
"1,94","0,645","2,6"
"1,84","0,644","2,5"
"1,75","0,642","2,4"
"1,65","0,64","2,3"
"1,55","0,639","2,2"
"1,35","0,636",2
"0,86","0,627","1,5"
"0,38","0,617",1
"0,0003","0,497","0,5"
"0,0060","0,59","0,6"
"0,0084","0,609","0,7"
"0,1858","0,612","0,8"
"0,283","0,614","0,9"
"2,44","0,652","3,1"
"2,54","0,653","3,2"
"2,63","0,654","3,3"
"2,73","0,655","3,4"
"2,83","0,657","3,5"
"2,93","0,658","3,6"
"3,03","0,659","3,7"
"3,13","0,661","3,8"
"3,22","0,662","3,9"
"3,32","0,663",4
"3,43","0,664","4,1"
"3,52","0,665","4,2"
"3,62","0,666","4,3"
"3,72","0,667","4,4"
"3,82","0,668","4,5"
"1,456","0,637","2,1"
"1,257","0,634","1,9"
"1,158","0,633","1,8"
"1,06","0,631","1,7"
"0,963","0,629","1,6"
"0,769","0,625","1,4"
"0,672","0,623","1,3"
"0,575","0,621","1,2"
"0,477","0,619","1,1"
"0,0001","0,396","0,4"
"0,36","0,617","0,98"
"0,339","0,617","0,96"
"0,32","0,616","0,94"
"0,301","0,615","0,92"
"0,262","0,615","0,88"
"0,243","0,614","0,86"
"0,222","0,614","0,84"
"0,202","0,614","0,82"
"0,164","0,613","0,78"
"0,145","0,612","0,76"
"0,1257","0,612","0,74"
"0,1062","0,611","0,72"
"0,0685","0,609","0,68"
"0,0483","0,608","0,66"
"0,0301","0,607","0,64"
"0,0134","0,604","0,62"
"0,0034","0,574","0,58"
"0,0018","0,555","0,56"
"0,0009","0,536","0,54"
"0,0005","0,516","0,52"
