 Vrc,Vce,vcc
2.6,0.37,3
2.57,0.3,2.9
2.5,0.261,2.8
2.42,0.249,2.7
2.33,0.235,2.6
2.24,0.222,2.5
2.15,0.213,2.4
2.06,0.205,2.3
1.977,0.198,2.2
1.884,0.192,2.1
1.799,0.186,2
1.705,0.18,1.9
1.61,0.175,1.8
1.518,0.167,1.7
1.425,0.163,1.6
1.331,158.3,1.5
1.237,153.2,1.4
1.142,148.9,1.3
1.049,142.8,1.2
0.955,137.8,1.1
0.86,132.3,1
0.766,127,0.9
0.672,120.7,0.8
0.578,114.2,0.7
0.486,107.8,0.6
0.393,98.8,0.5
0.302,89.5,0.4
0.212,78.3,0.3
0.126,64,0.2
0.044,44.2,0.1
2.55,0.71,3.3
2.57,0.98,3.6
2.6,1.27,3.9
2.6,1.46,4.1
