 Vrc,Vce,vcc,
"3,84","0,183","4,1","0,183"
"3,65","0,177","3,9","0,177"
"3,39","0,169","3,6","0,169"
"3,1","0,163","3,3","0,163"
"2,81","0,154",3,"0,154"
"2,71","0,15","2,9","0,15"
"2,62","0,148","2,8","0,148"
"2,52","0,146","2,7","0,146"
"2,42","0,144","2,6","0,144"
"2,32","0,142","2,5","0,142"
"2,23","0,138","2,4","0,138"
"2,13","0,136","2,3","0,136"
"2,03","0,136","2,2","0,136"
"1,93","0,133","2,1","0,133"
"1,84","0,132",2,"0,132"
"1,74","0,13","1,9","0,13"
"1,65","0,128","1,8","0,128"
"1,55","0,125","1,7","0,125"
"1,46","0,122","1,6","0,122"
"1,36","0,119","1,5","0,119"
"1,27","0,116","1,4","0,116"
"1,17","0,112","1,3","0,112"
"1,08","0,109","1,2","0,109"
"0,985","0,105","1,1","0,105"
"0,89","102,1",1,"0,1021"
"0,794","97,6","0,9","0,0976"
"0,699","92,8","0,8","0,0928"
"0,604",88,"0,7","0,088"
"0,51","82,4","0,6","0,0824"
"0,415","76,2","0,5","0,0762"
"0,322",69,"0,4","0,069"
"0,23","60,2","0,3","0,0602"
"0,14","49,9","0,2","0,0499"
"0,053","35,9","0,1","0,0359"
"4,17",186,"4,4","0,186"
"4,46","202,5","4,7","0,2025"
"4,76","209,4",5,"0,2094"
"5,05","218,1","5,3","0,2181"
"5,34",229,"5,6","0,229"
"5,62","241,5","5,9","0,2415"
"5,81","255,4","6,1","0,2554"
"6,08","281,5","6,4","0,2815"
"6,28","0,397","6,7","0,397"
"6,3","0,555","6,9","0,555"
"6,32","0,633",7,"0,633"
"6,36","0,88","7,3","0,88"
"6,42","1,116","7,4","1,116"
"6,45","1,395","7,9","1,395"
"6,52","1,62","8,2","1,62"
"6,57","1,869","8,5","1,869"
"6,62","2,009","8,7","2,009"
"6,67","2,269",9,"2,269"
"6,71","2,523","9,3","2,523"
"6,73","2,807","9,6","2,807"
"6,75","2,891","9,7","2,891"
"6,77","3,075","9,9","3,075"
"6,92","3,025",10,"3,025"
"7,03","3,899",11,"3,899"
"7,11","4,83",12,"4,83"
"7,25","5,7",13,"5,7"
"7,4","6,55",14,"6,55"
"7,58","7,34",15,"7,34"
